Genes,Type,Class,Mechanism,Group
MEG_5845|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACG
MEG_7224|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRD
MEG_6955|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERB,Metals,Tellurium resistance,Tellurium resistance protein,TERB
MEG_6002|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_6615|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_868|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_3917|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXK,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXK
MEG_6779|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6939|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_911|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4792|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_691|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEI
MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_5810|Drugs|betalactams|Class_A_betalactamases|PSE,Drugs,betalactams,Class A betalactamases,PSE
MEG_757|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_6523|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,SME
MEG_1384|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1869|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1589|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_6594|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_1436|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4997|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_5763|Drugs|betalactams|Class_A_betalactamases|PER,Drugs,betalactams,Class A betalactamases,PER
MEG_6647|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTM,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,TBTM
MEG_5032|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_2059|Metals|Copper_resistance|Copper_resistance_protein|COPG,Metals,Copper resistance,Copper resistance protein,COPG
MEG_4426|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_4976|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_1874|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3852|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,Metals,Mercury resistance,Mercury resistance protein,MERB
MEG_800|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3936|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,MEXW
MEG_5935|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_1689|Drugs|betalactams|Class_A_betalactamases|CFX,Drugs,betalactams,Class A betalactamases,CFX
MEG_1745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal RND efflux pumps,CMEF
MEG_2770|Drugs|MLS|23S_rRNA_methyltransferases|ERM,Drugs,MLS,23S rRNA methyltransferases,ERM
MEG_848|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7373|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,Drugs,Glycopeptides,VanC-type resistance protein,VANC
MEG_206|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2922|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_2503|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_2984|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_4049|Drugs|MLS|Macrolide_phosphotransferases|MPHK,Drugs,MLS,Macrolide phosphotransferases,MPHK
MEG_797|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1542|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_2030|Metals|Copper_resistance|Copper_resistance_protein|COPA,Metals,Copper resistance,Copper resistance protein,COPA
MEG_1975|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1858|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6919|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6047|Drugs|Rifampin|RNA-polymerase_binding_protein|RBPA,Drugs,Rifampin,RNA-polymerase binding protein,RBPA
MEG_1919|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_7816|Metals|Copper_resistance|Copper_resistance_regulator|YCNK,Metals,Copper resistance,Copper resistance regulator,YCNK
MEG_5825|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACC,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACC
MEG_1374|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6879|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3889|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,Metals,Mercury resistance,Mercury resistance regulator,MERR2
MEG_784|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1828|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_7198|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS
MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS,Drugs,Cationic antimicrobial peptides,Polymyxin B resistance regulator,BASRS
MEG_2492|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_6608|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_2671|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_7153|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_710|Drugs|betalactams|Class_B_betalactamases|AIM,Drugs,betalactams,Class B betalactamases,AIM
MEG_1050|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_357|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7264|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,TOLC
MEG_822|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2793|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,Drugs,MLS,23S rRNA methyltransferases,ERMB
MEG_354|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1355|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6740|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_7676|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_4762|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7089|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETK,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETK
MEG_2064|Metals|Copper_resistance|Copper_resistance_protein|COPL,Metals,Copper resistance,Copper resistance protein,COPL
MEG_6029|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS
MEG_1157|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,Metals,Arsenic resistance,Arsenic resistance protein,ARSC
MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT4-PRIME
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,BCR
MEG_2842|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,Drugs,MLS,23S rRNA methyltransferases,ERMQ
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_320|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6592|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,MDTH
MEG_6726|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_928|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2049|Metals|Copper_resistance|Copper_resistance_protein|COPC,Metals,Copper resistance,Copper resistance protein,COPC
MEG_3616|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUF
MEG_2660|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,DPR
MEG_6966|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET31
MEG_7013|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET59,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET59
MEG_2822|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,Drugs,MLS,23S rRNA methyltransferases,ERMC
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,TEHA
MEG_3878|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,Metals,Mercury resistance,Mercury resistance protein,MERP
MEG_2846|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,Drugs,MLS,23S rRNA methyltransferases,ERMT
MEG_5320|Drugs|betalactams|Class_A_betalactamases|OXY,Drugs,betalactams,Class A betalactamases,OXY
MEG_2553|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_700|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,ADEL
MEG_2721|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRA
MEG_869|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7603|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYD,Drugs,Glycopeptides,VanD-type accessory protein,VANYD
MEG_3704|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_1588|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_2854|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,Drugs,MLS,23S rRNA methyltransferases,ERMX
MEG_6795|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1766|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMLA
MEG_2876|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABK,Biocides,Phenolic compound resistance,Phenolic resistance protein,FABK
MEG_5295|Drugs|betalactams|Class_A_betalactamases|OXY,Drugs,betalactams,Class A betalactamases,OXY
MEG_3847|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,Metals,Mercury resistance,Mercury resistance protein,MERB
MEG_1400|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1144|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,Metals,Multi-metal resistance,Multi-metal resistance protein,ARSA
MEG_2844|Drugs|MLS|23S_rRNA_methyltransferases|ERMR,Drugs,MLS,23S rRNA methyltransferases,ERMR
MEG_955|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4302|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OPRN,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OPRN
MEG_7199|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS
MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_1559|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,Drugs,Phenicol,Chloramphenicol acetyltransferases,CAT
MEG_7815|Metals|Copper_resistance|Copper_resistance_protein|YCNJ,Metals,Copper resistance,Copper resistance protein,YCNJ
MEG_835|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1361|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1439|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1861|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_798|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7560|Drugs|Glycopeptides|VanB-type_resistance_protein|VANXB,Drugs,Glycopeptides,VanB-type resistance protein,VANXB
MEG_2927|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUC
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRK
MEG_6078|Drugs|betalactams|Class_A_betalactamases|ROB,Drugs,betalactams,Class A betalactamases,ROB
MEG_1463|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,BLT
MEG_2442|Metals|Copper_resistance|Copper_resistance_regulator|CUER,Metals,Copper resistance,Copper resistance regulator,CUER
MEG_5882|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_6894|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6905|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_2087|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,Metals,Multi-metal resistance,Multi-metal resistance protein,CORA
MEG_1185|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,AXY
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EFMA
MEG_7326|Drugs|betalactams|Class_B_betalactamases|TUS,Drugs,betalactams,Class B betalactamases,TUS
MEG_867|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_7140|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_4065|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,Drugs,MLS,MLS resistance ABC efflux pumps,MSRA
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32
MEG_987|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,Metals,Multi-metal resistance,Multi-metal ABC efflux pumps,MODA
MEG_3646|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAB,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LSAB
MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,Drugs,MLS,23S rRNA methyltransferases,ERMG
MEG_1342|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
MEG_2731|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE,Drugs,Multi-drug resistance,Multi-drug SMR efflux regulator,EMRE
