Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:plasmid:24298,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM1.259,NA,NA,NA,NA,NA,NA
gene:proph:163591,Prophage,NA,hypothetical protein,SH2346,NA,NA,NA,NA,NA,NA
gene:plasmid:149994,Plasmid,Unclassified plasmid gene,DUF5388 domain-containing protein,LP_RS15505,NA,NA,NA,NA,NA,NA
gene:proph:184707,Prophage,NA,IS30 family transposase,Lreu_1357,NA,NA,NA,NA,NA,NA
gene:proph:162948,Prophage,NA,DNA binding protein,llmg_0035,NA,NA,NA,NA,NA,NA
gene:proph:173891,Prophage,NA,bacteriophage protein,STY1060,NA,NA,NA,NA,NA,NA
gene:plasmid:153775,Plasmid ARG,Plasmid ARG,aminoglycoside-6'N-acetyltransferase,pTB11p39,NA,NA,NA,NA,NA,NA
gene:vir:95303,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28653,Plasmid,Plasmid transposition_recombination_integration,putative transposase,MWP009,NA,NA,NA,NA,NA,NA
gene:vir:7061,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:25449,IS,NA,transposase/IS protein,CP0029,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1520,0
gene:plasmid:155304,IS,NA,putative transposase,pRH45II_p03,IS1070,IS30,None,Leuconostoc lactis,924,0
gene:plasmid:125835,Plasmid,Plasmid non_conjugative efflux_transport,"electron transport flavoprotein, beta subunit",RHE_PF00405,NA,NA,NA,NA,NA,NA
gene:plasmid:28757,Plasmid,Hypothetical plasmid protein,hypothetical protein,VRA0044,NA,NA,NA,NA,NA,NA
gene:vir:96855,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17263,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCRL1127_07,NA,NA,NA,NA,NA,NA
gene:plasmid:151046,Plasmid,Hypothetical plasmid protein,hypothetical protein,pMUR050_063,NA,NA,NA,NA,NA,NA
gene:plasmid:123351,Plasmid,Plasmid virulence and pathogenicity domain,Tsh,O2ColV77,NA,NA,NA,NA,NA,NA
IncFII_1__AY458016,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14525,Plasmid,Hypothetical plasmid protein,hypothetical protein,PCP13,NA,NA,NA,NA,NA,NA
gene:proph:163187,Prophage,NA,DUF771 domain-containing protein,SSP_RS09735,NA,NA,NA,NA,NA,NA
gene:vir:80683,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:28839,Plasmid ARG,Plasmid ARG,CadX,SAP006,NA,NA,NA,NA,NA,NA
rep11_3_rep(pEFR)_AF511037,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|93|TcrEmr7853|GenBank|L42817|1..1076,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:137033,Plasmid,PREPIM,plasmid replication protein,pCCK647p02,NA,NA,NA,NA,NA,NA
gene:vir:96155,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:149463,Plasmid,Plasmid biosynthesis_regulatory_enzymes,"Ribulose bisphosphate carboxylase large chain, plasmid",H16_RS33580,NA,NA,NA,NA,NA,NA
gene:plasmid:134942,Plasmid,PTTREG,tRNA,TM1040_R0072,NA,NA,NA,NA,NA,NA
gene:plasmid:124738,Plasmid,Hypothetical plasmid protein,hypothetical protein,YP_pPCP04,NA,NA,NA,NA,NA,NA
gene:proph:159030,Prophage,NA,putative prophage endopeptidase RzpD,b0556,NA,NA,NA,NA,NA,NA
gene:plasmid:24173,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM1.111,NA,NA,NA,NA,NA,NA
gene:proph:163581,Prophage,NA,hypothetical protein,SH2375,NA,NA,NA,NA,NA,NA
gene:plasmid:83913,TE,NA,integrase IntI1 for transposon Tn21,YpIP275_pIP1202_0191,TnAs3,NA,NA,Aeromonas salmonicida,2010,0
gene:plasmid:16970,Plasmid,PREPIM,RepA protein,R46_043,NA,NA,NA,NA,NA,NA
gene:plasmid:115888,Plasmid,Hypothetical plasmid protein,hypothetical protein,Rms149_p11,NA,NA,NA,NA,NA,NA
gene:plasmid:85918,IS,NA,hypothetical protein,Rsph17025_3547,ISNarch3,IS21,None,Natrialbaceae archaeon,73.8,4.00E-13
gene:plasmid:146569,TE,NA,resolvase,pPSR1_p03,Tn5393,NA,NA,Erwinia amylovora,1082,0
gene:plasmid:145676,Plasmid,Hypothetical plasmid protein,hypothetical protein,Pcryo_2492,NA,NA,NA,NA,NA,NA
gene:vir:155,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:87401,Plasmid,Hypothetical plasmid protein,hypothetical protein,D616_p80001,NA,NA,NA,NA,NA,NA
gene:proph:163498,Prophage,NA,hypothetical protein,SH1805,NA,NA,NA,NA,NA,NA
gene:proph:184759,Prophage,NA,hypothetical protein,LREU_RS04385,NA,NA,NA,NA,NA,NA
gene:proph:171022,Prophage,NA,hypothetical protein,SAK_0745,NA,NA,NA,NA,NA,NA
gene:plasmid:25506,IS,NA,hypothetical protein,CP0086,ISEc47,IS66,None,Escherichia coli,884,0
gene:vir:108887,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:20046,IS,NA,transposase,ST585_p071,IS5D,IS5,IS5,Escherichia coli,2016,0
Col(Ye4449)_1__FJ696405,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:88423,IS,NA,transposase,KPN_pKPN3p05888,ISThi1,IS5,IS5,Thioalkalivibrio sp.,613,7.00E-176
gene:plasmid:137859,IS,NA,None,pRL70034,ISPve1,IS21,None,Paracoccus versutus,244,3.00E-64
gene:proph:182956,Prophage,NA,baseplate assembly protein W,EcHS_A0937,NA,NA,NA,NA,NA,NA
gene:plasmid:148216,IS,NA,hypothetical protein,pC15-1a_021,IS15DI,IS6,None,Salmonella panama,1398,0
gene:proph:163545,Prophage,NA,hypothetical protein,SH2378,NA,NA,NA,NA,NA,NA
gene:vir:103617,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85998,Plasmid,Hypothetical plasmid protein,hypothetical protein,Rsph17025_3288,NA,NA,NA,NA,NA,NA
gene:vir:96888,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:114049,Plasmid,PTTREG,tRNA,HCM2_t01,NA,NA,NA,NA,NA,NA
gene:plasmid:88339,Plasmid,PREPIM,DNA replication,KPN_pKPN3p05969,NA,NA,NA,NA,NA,NA
gene:plasmid:87028,IS,NA,transposase,pK214_p12,IS1069,IS3,IS3,Lactococcus lactis,1495,0
gene:vir:108501,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:18158,IS,NA,MC8,pSD10p8,ISMlu1,IS256,None,Micrococcus luteus,547,3.00E-155
gene:vir:7109,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:123298,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Iss,O2ColV49,NA,NA,NA,NA,NA,NA
gene:plasmid:30120,TE,NA,hypothetical protein,pB10p61,TnAs2,NA,NA,Aeromonas salmonicida,1039,0
gene:vir:6983,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:4453,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:108133,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:121857,Plasmid,Plasmid relaxase and mobilization machinery,plasmid mobilization protein,SSON_P171,NA,NA,NA,NA,NA,NA
gene:plasmid:139457,Plasmid,Unclassified plasmid gene,DUF5388 domain-containing protein,LSL_RS09600,NA,NA,NA,NA,NA,NA
gene:vir:103541,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:2029,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:243,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:107102,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:3433,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:108973,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14959,Plasmid,Plasmid transposition_recombination_integration,Tnp1250a,pTP10_p35,NA,NA,NA,NA,NA,NA
gene:vir:6443,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:147574,Plasmid,PREPIM,replication and maintenance protein,SAUSA300_pUSA030006,NA,NA,NA,NA,NA,NA
gene:plasmid:139629,Plasmid,PREPIM,stable plasmid inheritance protein B,O2R_84,NA,NA,NA,NA,NA,NA
gene:plasmid:133213,Plasmid,Hypothetical plasmid protein,hypothetical protein,Tn916_08,NA,NA,NA,NA,NA,NA
gene:plasmid:154916,Plasmid,Plasmid biosynthesis_regulatory_enzymes,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",Pden_4905,NA,NA,NA,NA,NA,NA
gene:plasmid:87099,Plasmid ARG,Plasmid ARG,multicopper oxidase,pGdh442_p11,NA,NA,NA,NA,NA,NA
gene:proph:181112,Prophage,NA,hypothetical protein,UTI89_C3002,NA,NA,NA,NA,NA,NA
gene:proph:159246,IS,NA,IS5 family transposase,ABSDF2441,ISAba7,IS5,IS903,Acinetobacter baumannii,1588,0
gene:proph:162984,IS,NA,transposase for insertion sequence element IS712D,llmg_0822,IS712,IS21,None,Lactococcus lactis,2426,0
ICEberg|373|ICESpn6706B-1|GenBank|CP002176|1039483..1120356,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:79583,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:162959,IS,NA,transposase helper protein for IS712A,llmg_0050,IS712,IS21,None,Lactococcus lactis,1505,0
gene:plasmid:117290,Plasmid,PTTREG,tRNA,Rsph17025_R0065,NA,NA,NA,NA,NA,NA
gene:plasmid:123248,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV167,NA,NA,NA,NA,NA,NA
gene:plasmid:124952,Plasmid,Hypothetical plasmid protein,hypothetical protein,SSPP141,NA,NA,NA,NA,NA,NA
gene:proph:183034,Prophage,NA,regulatory protein Cro,EcHS_A0290,NA,NA,NA,NA,NA,NA
rep4_1_CDS2(pCRL291.1)_NC002799,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:101349,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181074,Prophage,NA,hypothetical protein,UTI89_C2972,NA,NA,NA,NA,NA,NA
gene:proph:184645,Prophage,NA,DNA-binding transcriptional regulator,S2780,NA,NA,NA,NA,NA,NA
gene:proph:181036,Prophage,NA,tail fiber component of prophage CP-933T,UTI89_C0915,NA,NA,NA,NA,NA,NA
gene:vir:96880,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:147579,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,plasmid segregation protein ParR,SAUSA300_pUSA030035,NA,NA,NA,NA,NA,NA
gene:proph:161181,Prophage,NA,hypothetical protein,Amet_4027,NA,NA,NA,NA,NA,NA
gene:plasmid:150009,Plasmid,Unclassified plasmid gene,CHAP domain-containing protein,LP_RS15625,NA,NA,NA,NA,NA,NA
gene:proph:181120,Prophage,NA,minor tail protein,UTI89_C5130,NA,NA,NA,NA,NA,NA
gene:plasmid:135367,IS,NA,None,AAur_pTC10216,IS1071,Tn3,None,Alcaligenes sp.,2563,0
gene:plasmid:130623,Plasmid,Plasmid transposition_recombination_integration,putative transposase,pKB1_p002,NA,NA,NA,NA,NA,NA
gene:plasmid:150080,TE,NA,NTP-binding protein,pB8_037,TnAs3,NA,NA,Aeromonas salmonicida,1921,0
gene:plasmid:151017,IS,NA,transposase,pMUR050_009,IS26,IS6,None,Proteus vulgaris,1398,0
gene:plasmid:119003,Plasmid,Unclassified plasmid gene,None,LSL_RS00290,NA,NA,NA,NA,NA,NA
gene:plasmid:91025,IS,NA,transposase InsB1,YR71pYR1_0112,ISPst2,ISL3,None,Pseudomonas stutzeri,1901,0
gene:proph:183023,Prophage,NA,hypothetical protein,EcHS_A0288,NA,NA,NA,NA,NA,NA
gene:plasmid:156066,IS,NA,hypothetical protein,LV130,ISEc27,IS3,IS2,Escherichia coli,1542,0
gene:vir:7097,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6855,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:108366,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|410|ICEFma29328-1|GenBank|AP008971|1002528..1069524,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17129,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLP9000_08,NA,NA,NA,NA,NA,NA
IncQ1_1__M28829.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:119681,Plasmid,Hypothetical plasmid protein,hypothetical protein,UTI89_P036,NA,NA,NA,NA,NA,NA
gene:vir:7315,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:82017,Plasmid,Plasmid non_conjugative efflux_transport,ABC transporter ATP-binding protein,Smed_5343,NA,NA,NA,NA,NA,NA
gene:plasmid:81629,IS,NA,IstB ATP binding domain-containing protein,Acry_3373,ISPkr1,IS21,None,Paracoccus koreensis,238,4.00E-63
gene:plasmid:28797,Plasmid,Hypothetical plasmid protein,hypothetical protein,pUB101_p24,NA,NA,NA,NA,NA,NA
gene:plasmid:16992,Plasmid ARG,Plasmid ARG,aminoglycoside-3'-phosphotransferase,pIE1107_p1,NA,NA,NA,NA,NA,NA
gene:vir:6557,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:172429,Prophage,NA,phage minor tail protein,ECs_0832,NA,NA,NA,NA,NA,NA
gene:plasmid:139627,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_87,NA,NA,NA,NA,NA,NA
gene:plasmid:14720,Plasmid,Hypothetical plasmid protein,hypothetical protein,pXZ10142_p1,NA,NA,NA,NA,NA,NA
gene:plasmid:147570,IS,NA,transposase,SAUSA300_pUSA030005,IS257R2,IS6,None,Staphylococcus aureus,1338,0
gene:proph:182974,Prophage,NA,hypothetical protein,EcHS_A0919,NA,NA,NA,NA,NA,NA
gene:plasmid:82862,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p13,NA,NA,NA,NA,NA,NA
gene:vir:2031,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:167155,Prophage,NA,hypothetical protein,SERP1518,NA,NA,NA,NA,NA,NA
gene:vir:6941,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:183615,Prophage,NA,hypothetical protein,SFV_0264,NA,NA,NA,NA,NA,NA
gene:proph:172426,Prophage,NA,phage protease/scaffold protein,ECs_0829,NA,NA,NA,NA,NA,NA
gene:plasmid:147136,TE,NA,None,pB10p55,TnAs1,NA,NA,Aeromonas salmonicida,3473,0
gene:plasmid:86244,Plasmid,Hypothetical plasmid protein,hypothetical protein,Rsph17025_3376,NA,NA,NA,NA,NA,NA
gene:vir:10220,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:104379,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
rep20_9_repA(SAP055A)_GQ900414.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:105331,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:93924,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6741,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:111166,Plasmid,PTTREG,tRNA,RHA1_RS36735,NA,NA,NA,NA,NA,NA
gene:plasmid:132147,Plasmid,Plasmid biosynthesis_regulatory_enzymes,pyrrolidone-carboxylate peptidase,LACR_C27,NA,NA,NA,NA,NA,NA
gene:plasmid:135621,Plasmid,Plasmid transposition_recombination_integration,putative resolvase,pRE25p53,NA,NA,NA,NA,NA,NA
gene:plasmid:123343,IS,NA,putative transposase,O2ColV69,ISEc8,IS66,None,Escherichia coli,965,0
gene:plasmid:28933,Plasmid,PREPIM,replication initiation protein,SE_RS11815,NA,NA,NA,NA,NA,NA
gene:vir:94366,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:90848,Plasmid,Plasmid transposition_recombination_integration,transposase IS3/IS911 family protein,Mflv_5438,NA,NA,NA,NA,NA,NA
gene:plasmid:136314,Plasmid,Plasmid biosynthesis_regulatory_enzymes,N-acetylmuramoyl-L-alanine amidase domain-containing protein,CPR_B0004,NA,NA,NA,NA,NA,NA
gene:vir:96967,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:84287,Plasmid,Plasmid biosynthesis_regulatory_enzymes,sigma-70 family RNA polymerase sigma factor,OANT_RS23040,NA,NA,NA,NA,NA,NA
repUS16__repF(pE194)_M17811.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17294,Plasmid,Hypothetical plasmid protein,hypothetical protein,pNZ4000_11,NA,NA,NA,NA,NA,NA
gene:plasmid:16073,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLG13_03,NA,NA,NA,NA,NA,NA
gene:plasmid:87202,IS,NA,hypothetical protein,Rsph17025_4289,ISPye24,IS5,IS427,Paracoccus yeei,468,3.00E-132
gene:proph:181079,Prophage,NA,hypothetical protein,UTI89_C2977,NA,NA,NA,NA,NA,NA
gene:plasmid:14745,Plasmid,Plasmid ARG,single-strand binding protein homolog Ssb,pAG1_p19,NA,NA,NA,NA,NA,NA
gene:plasmid:128202,Plasmid,PREPIM,RepA,pAP2_p8,NA,NA,NA,NA,NA,NA
gene:plasmid:93518,IS,NA,transposase IS3/IS911 family protein,Rsph17025_4392,ISRhsp2,IS3,IS2,Rhodobacter sphaeroides,785,0
gene:plasmid:130601,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKB1_p074,NA,NA,NA,NA,NA,NA
gene:plasmid:141422,Plasmid,Hypothetical plasmid protein,hypothetical protein,NBU1_03,NA,NA,NA,NA,NA,NA
gene:vir:7194,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:105499,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19381,Plasmid,Unclassified plasmid gene,6.0 kd ORF,pColE1_06,NA,NA,NA,NA,NA,NA
gene:vir:108617,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:7198,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154740,Plasmid,Hypothetical plasmid protein,hypothetical protein,Pden_4551,NA,NA,NA,NA,NA,NA
gene:vir:4531,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154409,Plasmid,Hypothetical plasmid protein,hypothetical protein,pFBAOT6.61,NA,NA,NA,NA,NA,NA
ICEberg|409|ICESp1108|GenBank|FR691054|1694..47149,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:152266,Plasmid,Plasmid relaxase and mobilization machinery,mobilization protein,SEA0027,NA,NA,NA,NA,NA,NA
gene:proph:179706,Prophage,NA,phage protein,M6_Spy1154,NA,NA,NA,NA,NA,NA
rep14_3_ORF(pRI1)_EU327398,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:145496,Plasmid,Plasmid relaxase and mobilization machinery,MbkA,pColKK235p06,NA,NA,NA,NA,NA,NA
gene:vir:105327,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:139322,Plasmid,Hypothetical plasmid protein,hypothetical protein,LSL_RS10230,NA,NA,NA,NA,NA,NA
gene:plasmid:19454,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:proph:174861,Prophage,NA,phage protein,M5005_Spy_1005,NA,NA,NA,NA,NA,NA
gene:plasmid:119833,Plasmid,Unclassified plasmid gene,None,pSAS20,NA,NA,NA,NA,NA,NA
gene:plasmid:28888,Plasmid,Plasmid transposition_recombination_integration,DDE-type integrase/transposase/recombinase,SE_RS12040,NA,NA,NA,NA,NA,NA
gene:plasmid:121643,TE,NA,None,pB3_p29,TnAs3,NA,NA,Aeromonas salmonicida,1574,0
gene:plasmid:114179,IS,NA,hypothetical protein,SDY_P080,ISEc48,IS3,IS2,Escherichia coli,69.9,1.00E-12
gene:vir:6919,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
IncHI2A_1__BX664015,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:99534,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:110806,Plasmid,Unclassified plasmid gene,ytpC,Manual,NA,NA,NA,NA,NA,NA
gene:vir:103477,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:86102,IS,NA,hypothetical protein,Rsph17025_3472,ISPye28,IS481,None,Paracoccus yeei,135,8.00E-32
gene:proph:163179,Prophage,NA,hypothetical protein,SSP1935,NA,NA,NA,NA,NA,NA
gene:plasmid:17236,Plasmid,Hypothetical plasmid protein,hypothetical protein,pAH33_04,NA,NA,NA,NA,NA,NA
gene:plasmid:87717,Plasmid,Hypothetical plasmid protein,hypothetical protein,CHAB381_A0003,NA,NA,NA,NA,NA,NA
gene:vir:93597,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:86030,IS,NA,hypothetical protein,Rsph17025_3322,ISPye24,IS5,IS427,Paracoccus yeei,700,0
gene:plasmid:91198,IS,NA,transposase InsC for insertion sequence IS903,YR71pYR1_0151,IS903B,IS5,IS903,Escherichia coli,1691,0
gene:proph:183024,Prophage,NA,P22 repressor protein c2,EcHS_A0289,NA,NA,NA,NA,NA,NA
gene:proph:163464,Prophage,NA,hypothetical protein,SH2085,NA,NA,NA,NA,NA,NA
gene:plasmid:147509,Plasmid ARG,Plasmid ARG,putative mercury transport protein MerC,Shewana3_4312,NA,NA,NA,NA,NA,NA
gene:proph:160867,Prophage,NA,None,SE_RS04675,NA,NA,NA,NA,NA,NA
gene:plasmid:158591,IS,NA,transposase,pRSB101_11,IS6100,IS6,None,Mycobacterium fortuitum,1576,0
gene:plasmid:117338,Plasmid,Hypothetical plasmid protein,hypothetical protein,pO86A1_p050,NA,NA,NA,NA,NA,NA
gene:proph:172650,Prophage,NA,phage early gene regulator N,ECs_2993,NA,NA,NA,NA,NA,NA
gene:proph:168670,Prophage,NA,single-stranded DNA-binding protein,Bpet1447,NA,NA,NA,NA,NA,NA
gene:plasmid:14515,Plasmid,Hypothetical plasmid protein,hypothetical protein,CPE_RS00015,NA,NA,NA,NA,NA,NA
gene:plasmid:14566,Plasmid,Hypothetical plasmid protein,hypothetical protein,CPE_RS00235,NA,NA,NA,NA,NA,NA
gene:proph:162913,Prophage,NA,hypothetical protein,llmg_0597,NA,NA,NA,NA,NA,NA
gene:plasmid:24687,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:139169,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,DNA-damage-inducible protein,PSPPH_B0056,NA,NA,NA,NA,NA,NA
gene:plasmid:17097,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLME300_p14,NA,NA,NA,NA,NA,NA
gene:plasmid:17241,Plasmid,Hypothetical plasmid protein,hypothetical protein,pWV01_02,NA,NA,NA,NA,NA,NA
gene:plasmid:150550,Plasmid,PREPIM,replication initiation protein,SAA0001,NA,NA,NA,NA,NA,NA
gene:vir:108525,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:184837,Prophage,NA,SGNH/GDSL hydrolase family protein,LREU_RS05780,NA,NA,NA,NA,NA,NA
gene:plasmid:156439,Plasmid,PTTREG,tRNA,Pnap_R0061,NA,NA,NA,NA,NA,NA
gene:plasmid:17375,Plasmid,Hypothetical plasmid protein,hypothetical protein,pAH82_p15,NA,NA,NA,NA,NA,NA
gene:plasmid:153101,Plasmid,Hypothetical plasmid protein,hypothetical protein,Ppro_3833,NA,NA,NA,NA,NA,NA
gene:plasmid:16069,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,small toxic polypeptide,p165897_140,NA,NA,NA,NA,NA,NA
gene:plasmid:87124,IS,NA,putative transposase of IS1216,pGdh442_34,IS1216V,IS6,None,Enterococcus sp.,967,0
gene:plasmid:141405,Plasmid,PTTREG,rRNA,BMQ_pBM40081,NA,NA,NA,NA,NA,NA
gene:plasmid:153738,Plasmid,Plasmid transposition_recombination_integration,TniQ protein,pTB11p42,NA,NA,NA,NA,NA,NA
gene:plasmid:122402,Plasmid,Plasmid biosynthesis_regulatory_enzymes,rRNA methylase,pSTE2p06,NA,NA,NA,NA,NA,NA
gene:plasmid:126371,Plasmid,PREPIM,putative plasmid replication-associated protein,PPI1_p32,NA,NA,NA,NA,NA,NA
gene:proph:169869,Prophage,NA,hypothetical protein,SaurJH9_1024,NA,NA,NA,NA,NA,NA
gene:plasmid:91549,IS,NA,transposase InsB2 for insertion sequence IS26,SNSL254_pSN254_0035,IS26,IS6,None,Proteus vulgaris,1433,0
gene:plasmid:17121,Plasmid,PREPIM,rep protein,pLP2000_01,NA,NA,NA,NA,NA,NA
gene:plasmid:127578,Plasmid,Hypothetical plasmid protein,hypothetical protein,RER_RS01700,NA,NA,NA,NA,NA,NA
gene:plasmid:135614,IS,NA,streptothricin acetyltransferase,pRE25p45,ISCco2,IS1595,ISPna2,Campylobacter coli,1076,0
gene:plasmid:14771,TE,NA,IntIdelta1 protein,pTET3_p26,TnAs3,NA,NA,Aeromonas salmonicida,1798,0
gene:proph:162243,Prophage,NA,hypothetical protein,XCV2480,NA,NA,NA,NA,NA,NA
gene:plasmid:17291,Plasmid,Hypothetical plasmid protein,hypothetical protein,pNZ4000_08,NA,NA,NA,NA,NA,NA
gene:plasmid:84371,Plasmid,Unclassified plasmid gene,rE protein,pMATVM7_13,NA,NA,NA,NA,NA,NA
gene:plasmid:87141,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,partition protein A,pGdh442_42,NA,NA,NA,NA,NA,NA
gene:plasmid:136931,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSM19035_034,NA,NA,NA,NA,NA,NA
gene:vir:108638,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:128206,UNCLASSIFIED,NA,None,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:135693,Plasmid,Unclassified plasmid gene,None,LVIS_B03,NA,NA,NA,NA,NA,NA
gene:plasmid:141197,Plasmid ARG,Plasmid ARG,beta-lactamase,ST189834_p1010,NA,NA,NA,NA,NA,NA
gene:vir:4008,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:92160,Plasmid,Plasmid ARG,SulII,SSON_PA03,NA,NA,NA,NA,NA,NA
gene:plasmid:156383,IS,NA,putative IS1216 transposase,pVEF220,IS1216E,IS6,None,Enterococcus faecium,1362,0
gene:plasmid:28572,Plasmid,PREPIM,replication protein,J3358_p1,NA,NA,NA,NA,NA,NA
gene:vir:6067,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85663,Plasmid,PTTREG,30S ribosomal protein S1,Rsph17025_3882,NA,NA,NA,NA,NA,NA
